accident_id,accident_date,accident_time,latitude,longitude,fatalities,injuries,weather_id,road_id,vehicle_id,light_condition
97,2023-08-08,20:35:00,28.6139,77.2090,0,2,2,2,2,Night
98,2024-04-18,16:45:00,28.5562,77.1000,0,1,1,1,1,Day
99,2023-09-06,19:05:00,28.5275,77.1367,1,3,1,2,2,Night
100,2024-07-21,08:50:00,28.7041,77.1025,0,1,2,1,3,Day
101,2023-12-11,23:30:00,28.6139,77.2090,0,1,3,1,4,Night
102,2024-02-22,09:40:00,28.5562,77.1000,0,2,1,2,1,Day
103,2023-06-18,18:45:00,28.7041,77.1025,1,1,1,1,2,Dusk
104,2024-08-09,20:00:00,28.5275,77.1367,0,1,2,2,2,Night
105,2023-01-05,10:15:00,28.6358,77.2244,0,2,3,3,1,Day
106,2024-09-26,19:05:00,28.6128,77.2773,0,0,1,1,4,Night
107,2023-04-15,08:45:00,28.6562,77.2410,0,1,1,2,2,Day
108,2024-11-12,21:15:00,28.6139,77.2090,1,2,1,2,1,Night
109,2023-05-24,09:15:00,28.7041,77.1025,0,1,1,1,1,Day
110,2024-07-31,18:40:00,28.5562,77.1000,0,3,2,1,2,Dusk
111,2023-10-16,12:30:00,28.6139,77.2090,0,1,1,2,3,Day
112,2024-03-11,09:10:00,28.5275,77.1367,0,1,1,1,1,Day
113,2023-08-29,19:50:00,28.7041,77.1025,1,2,2,2,2,Night
114,2024-06-07,08:25:00,28.6139,77.2090,0,1,1,1,1,Day
115,2023-02-10,20:55:00,28.7041,77.1025,0,0,1,2,4,Night
116,2024-09-12,17:30:00,28.5562,77.1000,0,1,1,1,2,Day
117,2023-12-05,19:25:00,28.6139,77.2090,1,2,3,1,1,Night
118,2024-01-28,06:35:00,28.7041,77.1025,0,1,3,2,3,Dawn
119,2023-11-15,22:20:00,28.5275,77.1367,0,1,1,3,2,Night
120,2024-04-14,18:50:00,28.6139,77.2090,0,2,1,1,1,Dusk
121,2023-05-18,08:10:00,28.7041,77.1025,0,1,1,2,2,Day
122,2024-08-22,23:10:00,28.5562,77.1000,1,1,2,1,4,Night
123,2023-07-09,09:30:00,28.6139,77.2090,0,2,2,2,1,Day
124,2024-10-06,19:35:00,28.5275,77.1367,0,1,1,1,3,Night
125,2023-07-05,18:20:00,28.7041,77.1025,1,4,2,2,2,Dusk
126,2024-02-28,08:45:00,28.6139,77.2090,0,1,1,1,1,Day
127,2023-09-15,20:15:00,28.5562,77.1000,0,2,1,2,2,Night
128,2024-06-13,15:00:00,28.6358,77.2244,0,1,1,2,1,Day
129,2023-01-26,19:05:00,28.6128,77.2773,1,1,3,1,4,Night
130,2024-08-11,08:50:00,28.6562,77.2410,0,2,2,2,2,Day
131,2023-03-18,22:50:00,28.6139,77.2090,0,1,1,2,1,Night
132,2024-11-05,09:10:00,28.7041,77.1025,0,1,1,1,3,Day
133,2023-07-22,19:45:00,28.5562,77.1000,1,3,2,1,2,Night
134,2024-05-15,11:00:00,28.6139,77.2090,0,1,1,2,1,Day
135,2023-10-26,18:10:00,28.5275,77.1367,0,2,1,1,4,Dusk
136,2024-01-17,08:35:00,28.7041,77.1025,0,1,3,2,1,Day
137,2023-08-12,20:40:00,28.6139,77.2090,1,2,2,2,2,Night
138,2024-04-21,16:50:00,28.5562,77.1000,0,1,1,1,1,Day
139,2023-09-10,19:10:00,28.5275,77.1367,0,3,1,2,2,Night
140,2024-07-25,08:50:00,28.7041,77.1025,0,1,2,1,3,Day
141,2023-12-15,23:45:00,28.6139,77.2090,1,1,3,1,4,Night
142,2024-02-14,09:45:00,28.5562,77.1000,0,2,1,2,1,Day
143,2023-06-22,18:40:00,28.7041,77.1025,0,1,1,1,2,Dusk
144,2024-08-13,20:05:00,28.5275,77.1367,0,1,2,2,2,Night
145,2023-01-09,10:20:00,28.6358,77.2244,0,2,3,3,1,Day
146,2024-09-22,19:10:00,28.6128,77.2773,1,0,1,1,4,Night
147,2023-04-19,08:50:00,28.6562,77.2410,0,1,1,2,2,Day
148,2024-11-16,21:10:00,28.6139,77.2090,0,2,1,2,1,Night
149,2023-05-28,09:20:00,28.7041,77.1025,0,1,1,1,1,Day
150,2024-07-11,18:45:00,28.5562,77.1000,0,3,2,1,2,Dusk
151,2023-10-20,12:45:00,28.6139,77.2090,1,1,1,2,3,Day
152,2024-03-15,09:15:00,28.5275,77.1367,0,1,1,1,1,Day
153,2023-08-15,19:55:00,28.7041,77.1025,0,2,2,2,2,Night
154,2024-06-12,08:30:00,28.6139,77.2090,0,1,1,1,1,Day
155,2023-02-15,21:00:00,28.7041,77.1025,1,0,1,2,4,Night
156,2024-09-16,17:40:00,28.5562,77.1000,0,1,1,1,2,Day
157,2023-12-09,19:30:00,28.6139,77.2090,0,2,3,1,1,Night
158,2024-01-14,06:30:00,28.7041,77.1025,0,1,3,2,3,Dawn
159,2023-11-11,22:25:00,28.5275,77.1367,0,1,1,3,2,Night
160,2024-04-18,18:45:00,28.6139,77.2090,1,2,1,1,1,Dusk
161,2023-05-11,08:05:00,28.7041,77.1025,0,1,1,2,2,Day
162,2024-08-26,23:20:00,28.5562,77.1000,0,1,2,1,4,Night
163,2023-07-13,09:35:00,28.6139,77.2090,0,2,2,2,1,Day
164,2024-10-10,19:40:00,28.5275,77.1367,1,1,1,1,3,Night
165,2023-07-09,18:15:00,28.7041,77.1025,0,4,2,2,2,Dusk
166,2024-02-11,08:50:00,28.6139,77.2090,0,1,1,1,1,Day
167,2023-09-19,20:20:00,28.5562,77.1000,0,2,1,2,2,Night
168,2024-06-17,15:30:00,28.6358,77.2244,0,1,1,2,1,Day
169,2023-01-18,19:10:00,28.6128,77.2773,0,1,3,1,4,Night
170,2024-08-15,08:50:00,28.6562,77.2410,1,2,2,2,2,Day
171,2023-03-14,22:55:00,28.6139,77.2090,0,1,1,2,1,Night
172,2024-11-09,09:15:00,28.7041,77.1025,0,1,1,1,3,Day
173,2023-07-26,19:50:00,28.5562,77.1000,0,3,2,1,2,Night
174,2024-05-19,11:20:00,28.6139,77.2090,0,1,1,2,1,Day
175,2023-10-14,18:05:00,28.5275,77.1367,1,2,1,1,4,Dusk
176,2024-01-21,08:40:00,28.7041,77.1025,0,1,3,2,1,Day
177,2023-08-16,20:45:00,28.6139,77.2090,0,2,2,2,2,Night
178,2024-04-25,16:55:00,28.5562,77.1000,0,1,1,1,1,Day
179,2023-09-14,19:15:00,28.5275,77.1367,0,3,1,2,2,Night
180,2024-07-13,08:55:00,28.7041,77.1025,0,1,2,1,3,Day
181,2023-12-19,23:40:00,28.6139,77.2090,1,1,3,1,4,Night
182,2024-02-10,09:50:00,28.5562,77.1000,0,2,1,2,1,Day
183,2023-06-26,18:35:00,28.7041,77.1025,0,1,1,1,2,Dusk
84,2024-08-17,20:10:00,28.5275,77.1367,0,1,2,2,2,Night
185,2023-01-13,10:25:00,28.6358,77.2244,0,2,3,3,1,Day
186,2024-09-18,19:15:00,28.6128,77.2773,1,0,1,1,4,Night
187,2023-04-23,08:55:00,28.6562,77.2410,0,1,1,2,2,Day
188,2024-11-20,21:05:00,28.6139,77.2090,0,2,1,2,1,Night
189,2023-05-12,09:25:00,28.7041,77.1025,0,1,1,1,1,Day
190,2024-07-15,18:50:00,28.5562,77.1000,0,3,2,1,2,Dusk
191,2023-10-24,12:50:00,28.6139,77.2090,1,1,1,2,3,Day
192,2024-03-19,09:20:00,28.5275,77.1367,0,1,1,1,1,Day
193,2023-08-19,20:00:00,28.7041,77.1025,0,2,2,2,2,Night
194,2024-06-16,08:35:00,28.6139,77.2090,0,1,1,1,1,Day
195,2023-02-19,21:05:00,28.7041,77.1025,1,0,1,2,4,Night
196,2024-09-20,17:50:00,28.5562,77.1000,0,1,1,1,2,Day
197,2023-12-13,19:35:00,28.6139,77.2090,0,2,3,1,1,Night
198,2024-01-18,06:25:00,28.7041,77.1025,0,1,3,2,3,Dawn
199,2023-11-15,22:30:00,28.5275,77.1367,0,1,1,3,2,Night
200,2024-04-22,18:40:00,28.6139,77.2090,1,2,1,1,1,Dusk
201,2023-07-28,19:25:00,28.6139,77.2090,0,2,2,2,2,Night
202,2024-05-15,08:10:00,28.7041,77.1025,1,1,1,1,1,Day
203,2023-11-01,18:55:00,28.5562,77.1000,0,3,1,1,2,Dusk
204,2024-02-12,22:30:00,28.6139,77.2090,0,1,1,2,1,Night
205,2023-09-20,17:45:00,28.5275,77.1367,0,1,1,1,4,Dusk
206,2024-01-30,09:05:00,28.7041,77.1025,1,0,3,2,3,Day
2D07,2023-04-18,14:00:00,28.6139,77.2090,0,2,1,2,1,Day
208,2024-08-05,08:40:00,28.5562,77.1000,0,1,2,1,2,Day
209,2023-07-11,20:15:00,28.5275,77.1367,1,4,2,2,2,Night
210,2024-07-25,19:00:00,28.6139,77.2090,0,2,2,2,1,Night
211,2023-08-19,21:45:00,28.7041,77.1025,0,1,2,2,2,Night
212,2024-06-02,12:30:00,28.5562,77.1000,1,1,1,3,4,Day
213,2023-09-09,18:30:00,28.6139,77.2090,1,3,1,1,1,Dusk
214,2024-12-04,06:20:00,28.7041,77.1025,0,1,3,2,3,Dawn
215,2023-11-28,19:45:00,28.5275,77.1367,0,2,3,3,1,Night
216,2024-01-10,18:15:00,28.6139,77.2090,0,1,3,1,2,Dusk
217,2023-03-22,08:50:00,28.7041,77.1025,0,1,1,2,1,Day
218,2024-10-14,23:00:00,28.5562,77.1000,1,2,1,1,4,Night
219,2023-05-01,11:45:00,28.6139,77.2090,0,1,1,2,2,Day
220,2024-04-16,09:20:00,28.5275,77.1367,0,2,1,1,1,Day
221,2023-07-07,18:10:00,28.7041,77.1025,0,1,2,2,2,Dusk
222,2024-08-30,08:30:00,28.6139,77.2090,1,3,2,1,3,Day
223,2023-02-14,19:50:00,28.5562,77.1000,0,1,1,2,1,Night
224,2024-09-21,17:55:00,28.6139,77.2090,0,2,1,1,2,Dusk
225,2023-01-29,09:12:00,28.6358,77.2244,0,1,1,2,1,Day
226,2024-04-04,18:45:00,28.6128,77.2773,1,2,1,1,2,Dusk
227,2023-08-11,20:00:00,28.6562,77.2410,0,1,2,2,4,Night
228,2024-11-23,22:10:00,28.6139,77.2090,0,3,3,2,1,Night
229,2023-05-19,08:55:00,28.7041,77.1025,0,1,1,1,1,Day
230,2024-01-02,19:20:00,28.5562,77.1000,1,0,1,1,3,Night
231,2023-10-07,11:30:00,28.6139,77.2090,0,2,1,2,2,Day
232,2024-03-14,09:15:00,28.5275,77.1367,0,1,1,1,1,Day
233,2023-07-22,18:30:00,28.7041,77.1025,0,4,2,2,2,Dusk
234,2024-08-01,08:45:00,28.6139,77.2090,1,2,2,1,1,Day
235,2023-02-28,21:00:00,28.7041,77.1025,0,1,1,2,4,Night
236,2024-09-17,14:00:00,28.5562,77.1000,0,1,1,1,2,Day
237,2023-06-25,19:40:00,28.6139,77.2090,0,3,1,1,1,Night
238,2024-12-10,06:50:00,28.7041,77.1025,0,1,3,2,3,Dawn
239,2023-11-05,20:25:00,28.5275,77.1367,1,1,1,3,2,Night
240,2024-01-20,18:50:00,28.6139,77.2090,0,2,3,1,1,Dusk
241,2023-04-12,08:20:00,28.7041,77.1025,0,1,1,2,2,Day
242,2024-05-08,23:15:00,28.5562,77.1000,1,0,1,1,4,Night
243,2023-08-16,09:00:00,28.6139,77.2090,0,2,2,2,1,Day
244,2024-10-29,19:05:00,28.5275,77.1367,0,1,1,1,3,Night
245,2023-07-03,18:40:00,28.7041,77.1025,1,3,2,2,2,Dusk
246,2024-02-08,08:35:00,28.6139,77.2090,0,1,1,1,1,Day
247,2023-09-24,20:45:00,28.5562,77.1000,0,2,1,2,2,Night
248,2024-06-19,15:00:00,28.6358,77.2244,0,1,1,2,1,Day
249,2023-01-15,19:10:00,28.6128,77.2773,1,1,3,1,4,Night
250,2024-08-22,08:50:00,28.6562,77.2410,0,2,2,2,2,Day
251,2023-03-10,22:00:00,28.6139,77.2090,0,1,1,2,1,Night
252,2024-11-13,09:00:00,28.7041,77.1025,0,1,1,1,3,Day
253,2023-07-29,19:55:00,28.5562,77.1000,1,3,2,1,2,Night
254,2024-05-27,11:10:00,28.6139,77.2090,0,1,1,2,1,Day
255,2023-10-18,18:20:00,28.5275,77.1367,0,2,1,1,4,Dusk
256,2024-01-07,08:25:00,28.7041,77.1025,0,1,3,2,1,Day
257,2023-08-04,20:30:00,28.6139,77.2090,1,2,2,2,2,Night
258,2024-04-23,16:20:00,28.5562,77.1000,0,1,1,1,1,Day
259,2023-09-02,19:15:00,28.5275,77.1367,0,3,1,2,2,Night
260,2024-07-16,08:55:00,28.7041,77.1025,0,1,2,1,3,Day
261,2023-12-25,23:50:00,28.6139,77.2090,1,1,3,1,4,Night
262,2024-02-18,09:30:00,28.5562,77.1000,0,2,1,2,1,Day
263,2023-06-09,18:50:00,28.7041,77.1025,0,1,1,1,2,Dusk
264,2024-08-14,20:05:00,28.5275,77.1367,0,1,2,2,2,Night
265,2023-01-01,10:00:00,28.6358,77.2244,0,2,3,3,1,Day
266,2024-09-30,19:00:00,28.6128,77.2773,1,0,1,1,4,Night
267,2023-04-20,08:40:00,28.6562,77.2410,0,1,1,2,2,Day
268,2024-11-08,21:20:00,28.6139,77.2090,0,2,1,2,1,Night
269,2023-05-14,09:10:00,28.7041,77.1025,0,1,1,1,1,Day
270,2024-07-27,18:35:00,28.5562,77.1000,0,3,2,1,2,Dusk
271,2023-10-12,12:00:00,28.6139,77.2090,1,1,1,2,3,Day
272,2024-03-28,09:05:00,28.5275,77.1367,0,1,1,1,1,Day
273,2023-08-25,19:45:00,28.7041,77.1025,0,2,2,2,2,Night
274,2024-06-11,08:20:00,28.6139,77.2090,0,1,1,1,1,Day
275,2023-02-05,20:50:00,28.7041,77.1025,1,0,1,2,4,Night
276,2024-09-06,17:00:00,28.5562,77.1000,0,1,1,1,2,Day
277,2023-12-01,19:20:00,28.6139,77.2090,0,2,3,1,1,Night
278,2024-01-24,06:40:00,28.7041,77.1025,0,1,3,2,3,Dawn
279,2023-11-19,22:15:00,28.5275,77.1367,0,1,1,3,2,Night
280,2024-04-09,18:55:00,28.6139,77.2090,1,2,1,1,1,Dusk
281,2023-05-29,08:15:00,28.7041,77.1025,0,1,1,2,2,Day
282,2024-08-18,23:00:00,28.5562,77.1000,0,1,2,1,4,Night
283,2023-07-14,09:25:00,28.6139,77.2090,0,2,2,2,1,Day
284,2024-10-03,19:30:00,28.5275,77.1367,1,1,1,1,3,Night
285,2023-07-01,18:25:00,28.7041,77.1025,0,4,2,2,2,Dusk
286,2024-02-24,08:40:00,28.6139,77.2090,0,1,1,1,1,Day
287,2023-09-11,20:10:00,28.5562,77.1000,0,2,1,2,2,Night
288,2024-06-29,14:30:00,28.6358,77.2244,0,1,1,2,1,Day
289,2023-01-22,19:00:00,28.6128,77.2773,0,1,3,1,4,Night
290,2024-08-28,08:55:00,28.6562,77.2410,1,2,2,2,2,Day
291,2023-03-25,22:45:00,28.6139,77.2090,0,1,1,2,1,Night
292,2024-11-01,09:05:00,28.7041,77.1025,0,1,1,1,3,Day
293,2023-07-18,19:40:00,28.5562,77.1000,0,3,2,1,2,Night
294,2024-05-11,10:50:00,28.6139,77.2090,0,1,1,2,1,Day
295,2023-10-22,18:15:00,28.5275,77.1367,1,2,1,1,4,Dusk
296,2024-01-13,08:30:00,28.7041,77.1025,0,1,3,2,1,Day
297,2023-08-08,20:35:00,28.6139,77.2090,0,2,2,2,2,Night
298,2024-04-18,16:45:00,28.5562,77.1000,0,1,1,1,1,Day
299,2023-09-06,19:05:00,28.5275,77.1367,1,3,1,2,2,Night
300,2024-07-21,08:50:00,28.7041,77.1025,0,1,2,1,3,Day
301,2023-12-11,23:30:00,28.6139,77.2090,0,1,3,1,4,Night
302,2024-02-22,09:40:00,28.5562,77.1000,0,2,1,2,1,Day
303,2023-06-18,18:45:00,28.7041,77.1025,1,1,1,1,2,Dusk
304,2024-08-09,20:00:00,28.5275,77.1367,0,1,2,2,2,Night
305,2023-01-05,10:15:00,28.6358,77.2244,0,2,3,3,1,Day
306,2024-09-26,19:05:00,28.6128,77.2773,0,0,1,1,4,Night
307,2023-04-15,08:45:00,28.6562,77.2410,0,1,1,2,2,Day
308,2024-11-12,21:15:00,28.6139,77.2090,1,2,1,2,1,Night
309,2023-05-24,09:15:00,28.7041,77.1025,0,1,1,1,1,Day
310,2024-07-31,18:40:00,28.5562,77.1000,0,3,2,1,2,Dusk
311,2023-10-16,12:30:00,28.6139,77.2090,0,1,1,2,3,Day
312,2024-03-11,09:10:00,28.5275,77.1367,0,1,1,1,1,Day
313,2023-08-29,19:50:00,28.7041,77.1025,1,2,2,2,2,Night
314,2024-06-07,08:25:00,28.6139,77.2090,0,1,1,1,1,Day
315,2023-02-10,20:55:00,28.7041,77.1025,0,0,1,2,4,Night
316,2024-09-12,17:30:00,28.5562,77.1000,0,1,1,1,2,Day
317,2023-12-05,19:25:00,28.6139,77.2090,1,2,3,1,1,Night
318,2024-01-28,06:35:00,28.7041,77.1025,0,1,3,2,3,Dawn
319,2023-11-15,22:20:00,28.5275,77.1367,0,1,1,3,2,Night
320,2024-04-14,18:50:00,28.6139,77.2090,0,2,1,1,1,Dusk
321,2023-05-18,08:10:00,28.7041,77.1025,0,1,1,2,2,Day
322,2024-08-22,23:10:00,28.5562,77.1000,1,1,2,1,4,Night
323,2023-07-09,09:30:00,28.6139,77.2090,0,2,2,2,1,Day
324,2024-10-06,19:35:00,28.5275,77.1367,0,1,1,1,3,Night
325,2023-07-05,18:20:00,28.7041,77.1025,1,4,2,2,2,Dusk
326,2024-02-28,08:45:00,28.6139,77.2090,0,1,1,1,1,Day
327,2023-09-15,20:15:00,28.5562,77.1000,0,2,1,2,2,Night
328,2024-06-13,15:00:00,28.6358,77.2244,0,1,1,2,1,Day
329,2023-01-26,19:05:00,28.6128,77.2773,1,1,3,1,4,Night
330,2024-08-11,08:50:00,28.6562,77.2410,0,2,2,2,2,Day
331,2023-03-18,22:50:00,28.6139,77.2090,0,1,1,2,1,Night
332,2024-11-05,09:10:00,28.7041,77.1025,0,1,1,1,3,Day
333,2023-07-22,19:45:00,28.5562,77.1000,1,3,2,1,2,Night
334,2024-05-15,11:00:00,28.6139,77.2090,0,1,1,2,1,Day
335,2023-10-26,18:10:00,28.5275,77.1367,0,2,1,1,4,Dusk
336,2024-01-17,08:35:00,28.7041,77.1025,0,1,3,2,1,Day
337,2023-08-12,20:40:00,28.6139,77.2090,1,2,2,2,2,Night
338,2024-04-21,16:50:00,28.5562,77.1000,0,1,1,1,1,Day
339,2023-09-10,19:10:00,28.5275,77.1367,0,3,1,2,2,Night
340,2024-07-25,08:50:00,28.7041,77.1025,0,1,2,1,3,Day
341,2023-12-15,23:45:00,28.6139,77.2090,1,1,3,1,4,Night
342,2024-02-14,09:45:00,28.5562,77.1000,0,2,1,2,1,Day
343,2023-06-22,18:40:00,28.7041,77.1025,0,1,1,1,2,Dusk
344,2024-08-13,20:05:00,28.5275,77.1367,0,1,2,2,2,Night
345,2023-01-09,10:20:00,28.6358,77.2244,0,2,3,3,1,Day
346,2024-09-22,19:10:00,28.6128,77.2773,1,0,1,1,4,Night
347,2023-04-19,08:50:00,28.6562,77.2410,0,1,1,2,2,Day
348,2024-11-16,21:10:00,28.6139,77.2090,0,2,1,2,1,Night
349,2023-05-28,09:20:00,28.7041,77.1025,0,1,1,1,1,Day
350,2024-07-11,18:45:00,28.5562,77.1000,0,3,2,1,2,Dusk
351,2023-10-20,12:45:00,28.6139,77.2090,1,1,1,2,3,Day
352,2024-03-15,09:15:00,28.5275,77.1367,0,1,1,1,1,Day
353,2023-08-15,19:55:00,28.7041,77.1025,0,2,2,2,2,Night
354,2024-06-12,08:30:00,28.6139,77.2090,0,1,1,1,1,Day
355,2023-02-15,21:00:00,28.7041,77.1025,1,0,1,2,4,Night
356,2024-09-16,17:40:00,28.5562,77.1000,0,1,1,1,2,Day
357,2023-12-09,19:30:00,28.6139,77.2090,0,2,3,1,1,Night
358,2024-01-14,06:30:00,28.7041,77.1025,0,1,3,2,3,Dawn
